metro_code,metro_name,metro_pop,metro_type,variable_name,applications,loans,denials,results_def,odds_ratio,odds_ratio_rd,number_denials_compared_to_10_white,white_loans,white_denials,white_apps
12100,"Atlantic City-Hammonton, NJ",266105,Metropolitan Statistical Area,Black,56,50,6,No meaningful results,,,,994,74,1068
12100,"Atlantic City-Hammonton, NJ",266105,Metropolitan Statistical Area,Latino,151,140,11,No meaningful results,,,,994,74,1068
12100,"Atlantic City-Hammonton, NJ",266105,Metropolitan Statistical Area,Native American,4,4,0,No meaningful results,,,,994,74,1068
12100,"Atlantic City-Hammonton, NJ",266105,Metropolitan Statistical Area,AAPI,120,108,12,No meaningful results,,,,994,74,1068
35004,"Nassau County-Suffolk County, NY",2840341,Metropolitan Division,Black,999,869,130,Statistcially significant disparity,1.518148085,1.5,15,11175,788,11963
35004,"Nassau County-Suffolk County, NY",2840341,Metropolitan Division,Latino,2314,2039,275,Statistcially significant disparity,1.574993776,1.6,16,11175,788,11963
35004,"Nassau County-Suffolk County, NY",2840341,Metropolitan Division,Native American,26,24,2,Not statistcially significant,1.888356365,1.9,19,11175,788,11963
35004,"Nassau County-Suffolk County, NY",2840341,Metropolitan Division,AAPI,2842,2591,251,Doesn't meet level of disparity,1.208123003,1.2,12,11175,788,11963
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4901633,Metropolitan Division,Black,5407,4887,520,Statistcially significant disparity,2.172453054,2.2,22,20600,674,21274
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4901633,Metropolitan Division,Latino,4205,3877,328,Statistcially significant disparity,1.745780832,1.7,17,20600,674,21274
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4901633,Metropolitan Division,Native American,117,109,8,Not statistcially significant,1.74367644,1.7,17,20600,674,21274
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4901633,Metropolitan Division,AAPI,6978,6458,520,Statistcially significant disparity,2.01707021,2,20,20600,674,21274
15804,"Camden, NJ",1243605,Metropolitan Division,Black,599,518,81,Regression equation needs to be tweaked,2.174630548,2.2,22,5451,261,5712
15804,"Camden, NJ",1243605,Metropolitan Division,Latino,523,466,57,Regression equation needs to be tweaked,1.546261934,1.5,15,5451,261,5712
15804,"Camden, NJ",1243605,Metropolitan Division,Native American,5,4,1,Regression equation needs to be tweaked,1.248286557,1.2,12,5451,261,5712
15804,"Camden, NJ",1243605,Metropolitan Division,AAPI,606,553,53,Regression equation needs to be tweaked,1.321527986,1.3,13,5451,261,5712
33874,"Montgomery County-Bucks County-Chester County, PA",1970189,Metropolitan Division,Black,530,483,47,Statistcially significant disparity,1.72819336,1.7,17,12915,606,13521
33874,"Montgomery County-Bucks County-Chester County, PA",1970189,Metropolitan Division,Latino,547,503,44,Statistcially significant disparity,1.709872058,1.7,17,12915,606,13521
33874,"Montgomery County-Bucks County-Chester County, PA",1970189,Metropolitan Division,Native American,21,20,1,Not statistcially significant,0.712807334,0.7,7,12915,606,13521
33874,"Montgomery County-Bucks County-Chester County, PA",1970189,Metropolitan Division,AAPI,1809,1674,135,Statistcially significant disparity,1.611667695,1.6,16,12915,606,13521
42540,"Scranton--Wilkes-Barre, PA",555642,Metropolitan Statistical Area,Black,30,21,9,Regression equation needs to be tweaked,2.820186597,2.8,28,1766,140,1906
42540,"Scranton--Wilkes-Barre, PA",555642,Metropolitan Statistical Area,Latino,212,175,37,Regression equation needs to be tweaked,0.971169817,1,10,1766,140,1906
42540,"Scranton--Wilkes-Barre, PA",555642,Metropolitan Statistical Area,Native American,3,3,0,Regression equation needs to be tweaked,6.96E-08,0,0,1766,140,1906
42540,"Scranton--Wilkes-Barre, PA",555642,Metropolitan Statistical Area,AAPI,66,62,4,Regression equation needs to be tweaked,0.776062028,0.8,8,1766,140,1906
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",1926205,Metropolitan Division,Black,2382,1942,440,Doesn't meet level of disparity,1.434367588,1.4,14,5600,735,6335
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",1926205,Metropolitan Division,Latino,5392,4686,706,Not statistcially significant,1.051496374,1.1,11,5600,735,6335
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",1926205,Metropolitan Division,Native American,28,23,5,Not statistcially significant,1.3829255,1.4,14,5600,735,6335
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",1926205,Metropolitan Division,AAPI,779,663,116,Not statistcially significant,1.183644442,1.2,12,5600,735,6335
44300,"State College, PA",161960,Metropolitan Statistical Area,Black,12,12,0,Regression equation needs to be tweaked,7.51E-08,0,0,767,47,814
44300,"State College, PA",161960,Metropolitan Statistical Area,Latino,18,17,1,Regression equation needs to be tweaked,0.24120458,0.2,2,767,47,814
44300,"State College, PA",161960,Metropolitan Statistical Area,Native American,3,2,1,Regression equation needs to be tweaked,1.725061906,1.7,17,767,47,814
44300,"State College, PA",161960,Metropolitan Statistical Area,AAPI,58,53,5,Regression equation needs to be tweaked,1.653869516,1.7,17,767,47,814
36740,"Orlando-Kissimmee-Sanford, FL",2508970,Metropolitan Statistical Area,Black,1582,1369,213,Statistcially significant disparity,1.478437163,1.5,15,11932,951,12883
36740,"Orlando-Kissimmee-Sanford, FL",2508970,Metropolitan Statistical Area,Latino,5256,4564,692,Statistcially significant disparity,1.458779961,1.5,15,11932,951,12883
36740,"Orlando-Kissimmee-Sanford, FL",2508970,Metropolitan Statistical Area,Native American,73,59,14,Not enough of applications,2.904751084,2.9,29,11932,951,12883
36740,"Orlando-Kissimmee-Sanford, FL",2508970,Metropolitan Statistical Area,AAPI,1686,1497,189,Doesn't meet level of disparity,1.253990089,1.3,13,11932,951,12883
10900,"Allentown-Bethlehem-Easton, PA-NJ",837610,Metropolitan Statistical Area,Black,157,137,20,Statistcially significant disparity,1.786862579,1.8,18,3984,225,4209
10900,"Allentown-Bethlehem-Easton, PA-NJ",837610,Metropolitan Statistical Area,Latino,569,503,66,Not statistcially significant,1.315739915,1.3,13,3984,225,4209
10900,"Allentown-Bethlehem-Easton, PA-NJ",837610,Metropolitan Statistical Area,Native American,13,10,3,Not statistcially significant,2.243582702,2.2,22,3984,225,4209
10900,"Allentown-Bethlehem-Easton, PA-NJ",837610,Metropolitan Statistical Area,AAPI,282,255,27,Not statistcially significant,1.458549554,1.5,15,3984,225,4209
35840,"North Port-Sarasota-Bradenton, FL",803709,Metropolitan Statistical Area,Black,192,170,22,Statistcially significant disparity,1.841650466,1.8,18,7266,619,7885
35840,"North Port-Sarasota-Bradenton, FL",803709,Metropolitan Statistical Area,Latino,702,605,97,Statistcially significant disparity,1.854714478,1.9,19,7266,619,7885
35840,"North Port-Sarasota-Bradenton, FL",803709,Metropolitan Statistical Area,Native American,18,13,5,Not statistcially significant,2.6541946,2.7,27,7266,619,7885
35840,"North Port-Sarasota-Bradenton, FL",803709,Metropolitan Statistical Area,AAPI,232,206,26,Statistcially significant disparity,1.748736895,1.7,17,7266,619,7885
12580,"Baltimore-Columbia-Towson, MD",2796733,Metropolitan Statistical Area,Black,2322,2085,237,Statistcially significant disparity,2.367546295,2.4,24,13150,473,13623
12580,"Baltimore-Columbia-Towson, MD",2796733,Metropolitan Statistical Area,Latino,1018,938,80,Statistcially significant disparity,1.626490622,1.6,16,13150,473,13623
12580,"Baltimore-Columbia-Towson, MD",2796733,Metropolitan Statistical Area,Native American,54,48,6,Not statistcially significant,1.480867119,1.5,15,13150,473,13623
12580,"Baltimore-Columbia-Towson, MD",2796733,Metropolitan Statistical Area,AAPI,2187,1987,200,Statistcially significant disparity,2.318359649,2.3,23,13150,473,13623
39740,"Reading, PA",418025,Metropolitan Statistical Area,Black,60,53,7,Regression equation needs to be tweaked,1.968031246,2,20,1831,82,1913
39740,"Reading, PA",418025,Metropolitan Statistical Area,Latino,281,243,38,Regression equation needs to be tweaked,1.443655318,1.4,14,1831,82,1913
39740,"Reading, PA",418025,Metropolitan Statistical Area,Native American,2,2,0,Regression equation needs to be tweaked,3.02E-08,0,0,1831,82,1913
39740,"Reading, PA",418025,Metropolitan Statistical Area,AAPI,51,49,2,Regression equation needs to be tweaked,0.58725429,0.6,6,1831,82,1913
49620,"York-Hanover, PA",445565,Metropolitan Statistical Area,Black,101,82,19,Regression equation needs to be tweaked,4.611601837,4.6,46,2526,118,2644
49620,"York-Hanover, PA",445565,Metropolitan Statistical Area,Latino,112,96,16,Regression equation needs to be tweaked,2.559298236,2.6,26,2526,118,2644
49620,"York-Hanover, PA",445565,Metropolitan Statistical Area,Native American,7,7,0,Regression equation needs to be tweaked,1.30E-11,0,0,2526,118,2644
49620,"York-Hanover, PA",445565,Metropolitan Statistical Area,AAPI,69,66,3,Regression equation needs to be tweaked,0.564113102,0.6,6,2526,118,2644
38300,"Pittsburgh, PA",2331447,Metropolitan Statistical Area,Black,394,350,44,Not statistcially significant,1.11756818,1.1,11,12757,649,13406
38300,"Pittsburgh, PA",2331447,Metropolitan Statistical Area,Latino,216,203,13,Not statistcially significant,0.990554105,1,10,12757,649,13406
38300,"Pittsburgh, PA",2331447,Metropolitan Statistical Area,Native American,23,22,1,Not statistcially significant,0.404522912,0.4,4,12757,649,13406
38300,"Pittsburgh, PA",2331447,Metropolitan Statistical Area,AAPI,767,723,44,Statistcially significant disparity,1.5299904,1.5,15,12757,649,13406
10580,"Albany-Schenectady-Troy, NY",880736,Metropolitan Statistical Area,Black,135,118,17,Regression equation needs to be tweaked,1.798811287,1.8,18,4533,197,4730
10580,"Albany-Schenectady-Troy, NY",880736,Metropolitan Statistical Area,Latino,141,130,11,Regression equation needs to be tweaked,1.225177131,1.2,12,4533,197,4730
10580,"Albany-Schenectady-Troy, NY",880736,Metropolitan Statistical Area,Native American,11,10,1,Regression equation needs to be tweaked,2.142022838,2.1,21,4533,197,4730
10580,"Albany-Schenectady-Troy, NY",880736,Metropolitan Statistical Area,AAPI,454,433,21,Regression equation needs to be tweaked,0.558278108,0.6,6,4533,197,4730
36140,"Ocean City, NJ",93086,Metropolitan Statistical Area,Black,3,3,0,No meaningful results,,,,546,42,588
36140,"Ocean City, NJ",93086,Metropolitan Statistical Area,Latino,10,10,0,No meaningful results,,,,546,42,588
36140,"Ocean City, NJ",93086,Metropolitan Statistical Area,Native American,2,2,0,No meaningful results,,,,546,42,588
36140,"Ocean City, NJ",93086,Metropolitan Statistical Area,AAPI,7,5,2,No meaningful results,,,,546,42,588
14860,"Bridgeport-Stamford-Norwalk, CT",943926,Metropolitan Statistical Area,Black,406,347,59,Statistcially significant disparity,1.568536353,1.6,16,4238,269,4507
14860,"Bridgeport-Stamford-Norwalk, CT",943926,Metropolitan Statistical Area,Latino,1038,931,107,Not statistcially significant,1.145244174,1.1,11,4238,269,4507
14860,"Bridgeport-Stamford-Norwalk, CT",943926,Metropolitan Statistical Area,Native American,11,10,1,Not statistcially significant,0.877471904,0.9,9,4238,269,4507
14860,"Bridgeport-Stamford-Norwalk, CT",943926,Metropolitan Statistical Area,AAPI,499,456,43,Not statistcially significant,1.395303514,1.4,14,4238,269,4507
15764,"Cambridge-Newton-Framingham, MA",2384518,Metropolitan Division,Black,374,339,35,Statistcially significant disparity,1.713427602,1.7,17,11791,471,12262
15764,"Cambridge-Newton-Framingham, MA",2384518,Metropolitan Division,Latino,1545,1418,127,Doesn't meet level of disparity,1.317313103,1.3,13,11791,471,12262
15764,"Cambridge-Newton-Framingham, MA",2384518,Metropolitan Division,Native American,20,18,2,Not statistcially significant,1.02617114,1,10,11791,471,12262
15764,"Cambridge-Newton-Framingham, MA",2384518,Metropolitan Division,AAPI,2742,2565,177,Statistcially significant disparity,1.74010495,1.7,17,11791,471,12262
45300,"Tampa-St. Petersburg-Clearwater, FL",3097859,Metropolitan Statistical Area,Black,1247,1064,183,Statistcially significant disparity,2.035562408,2,20,18613,1526,20139
45300,"Tampa-St. Petersburg-Clearwater, FL",3097859,Metropolitan Statistical Area,Latino,4069,3613,456,Doesn't meet level of disparity,1.425121445,1.4,14,18613,1526,20139
45300,"Tampa-St. Petersburg-Clearwater, FL",3097859,Metropolitan Statistical Area,Native American,76,68,8,Not statistcially significant,1.059043416,1.1,11,18613,1526,20139
45300,"Tampa-St. Petersburg-Clearwater, FL",3097859,Metropolitan Statistical Area,AAPI,1598,1417,181,Statistcially significant disparity,1.531490257,1.5,15,18613,1526,20139
29460,"Lakeland-Winter Haven, FL",686218,Metropolitan Statistical Area,Black,277,235,42,Regression equation needs to be tweaked,1.718352363,1.7,17,2437,208,2645
29460,"Lakeland-Winter Haven, FL",686218,Metropolitan Statistical Area,Latino,912,780,132,Regression equation needs to be tweaked,1.484356209,1.5,15,2437,208,2645
29460,"Lakeland-Winter Haven, FL",686218,Metropolitan Statistical Area,Native American,11,8,3,Regression equation needs to be tweaked,1.602343125,1.6,16,2437,208,2645
29460,"Lakeland-Winter Haven, FL",686218,Metropolitan Statistical Area,AAPI,145,131,14,Regression equation needs to be tweaked,0.980356438,1,10,2437,208,2645
45060,"Syracuse, NY",652416,Metropolitan Statistical Area,Black,96,85,11,Regression equation needs to be tweaked,1.421692958,1.4,14,2872,155,3027
45060,"Syracuse, NY",652416,Metropolitan Statistical Area,Latino,76,71,5,Regression equation needs to be tweaked,0.891332246,0.9,9,2872,155,3027
45060,"Syracuse, NY",652416,Metropolitan Statistical Area,Native American,16,14,2,Regression equation needs to be tweaked,2.14378129,2.1,21,2872,155,3027
45060,"Syracuse, NY",652416,Metropolitan Statistical Area,AAPI,195,180,15,Regression equation needs to be tweaked,1.283303647,1.3,13,2872,155,3027
37340,"Palm Bay-Melbourne-Titusville, FL",585507,Metropolitan Statistical Area,Black,170,140,30,Statistcially significant disparity,2.415474022,2.4,24,3606,306,3912
